,corp_code,ceo_nm
1157,386043,이태건
1158,435932,김장환
1159,416618,김종문
1160,429755,우상훈
1161,443551,강진호
1162,443676,홍정선
1163,406259,서명원
1164,435668,신기수
1165,444161,정상희
1166,246426,권희동
1167,441492,하이메바이롬
1168,441492,엔리케바이롬
1170,367507,정영준외1인
1171,368445,크리스티앙헨리귀로
1172,371865,이창복
1173,245870,오정택
1174,407249,박경득
1175,215116,김수철
1176,262521,송창학
1177,407577,고인석
1178,441988,Viven Chen
1179,368940,박봉규
1180,365059,노영훈
1181,410030,이재철
1182,318884,손수경
1183,368250,김승원
1184,228183,이성훈
1185,228183,이종훈
1187,426369,김충식
1188,452470,한원구
1189,368612,김영배
1190,449263,심성구
1191,386478,박명근
1192,445887,전근표
1193,415169,곽기웅
1194,132901,장세주
1195,235129,손연호
1196,221144,서성본
1197,452610,곽유지
1198,222453,박종문
1199,272591,송영란
1200,286318,김철웅
1201,401768,김해인
1202,419059,김해인
1203,420189,김현규
1204,260240,하상수
1205,178693,김복순
1206,350002,소영철
1207,241184,최윤상
1208,224372,심도식
1209,420055,이재석
1210,375108,Tiaraltd
1211,422901,임종선
1212,420259,Peter John Finch
1213,420505,박종란
1214,421674,이수범
1215,422956,성기석
1216,315407,김구환
1217,419129,Hiroshi Kikuchi
1218,421708,변기우
1219,400194,한지무
1220,342720,코스모에스.트라파니
1221,420462,Barry S. Volpert
1222,423238,이광중
1223,265148,김익중
1224,435826,금지원
1225,435844,유병철
1226,433475,홍창훈
1227,432360,장재호
1228,433280,김태성
1229,380216,하태웅
1230,364874,이기형
1231,435279,서정선
1232,430681,심현지
1233,388209,진병용
1234,429791,김경수
1235,429807,전상규
1236,429825,이준
1237,432120,William C. Morris
1238,433147,RAYMOND BREGANTE
1239,331487,이청종
1240,430441,이동춘
1241,204147,홍순명
1242,430371,현용길
1243,348450,백송호
1244,234467,김용주
1245,319193,권종수
1246,122296,이양우
1247,122296,박권병
1249,399339,하은영
1250,147408,김종태
1251,439716,크리스토퍼와이.김
1252,431015,권미라
1253,366182,김세균
1254,409414,이승호
1255,441793,민병오
1256,326704,이영일
1257,365891,김종인
1258,442127,남윤국
1259,442880,임경남
1260,437693,최원무
1261,209391,류원한
1262,220774,김재준
1263,441517,김재수
1264,248655,손종건
1265,441915,김장호
1266,409089,심상열
1267,386113,윤종구.박경혜
1268,446293,정원교
1269,405029,박종진
1270,436162,최병선
1271,446947,강옥희
1272,209814,황종대
1273,227591,손시헌
1274,454724,김원환
1275,447830,황세환
1276,416371,김주식
1277,408664,김종택
1278,365509,함종인
1279,454681,박남신
1280,452106,김규홍
1281,305622,이영국
1282,170655,김재규
1283,116602,라제훈
1284,419527,김창진
1285,367242,박중규
1286,256584,다그터볼드
1287,256584,에릭스타이
1289,455255,최병우
1290,305145,임금조
1291,357421,신영락
1292,190996,도승수
1293,374747,임대진
1294,457253,SOO TSUNG YAN
1295,457271,서정선
1296,237206,배상준
1297,424477,Henry Ingrouille
1298,459394,김미애
1299,459631,김현겸
1300,267827,김종근
1301,457439,DAVID C GUEST
1302,458304,목석균
1303,447450,고득관
1304,460451,제이슨에이치리
1305,457332,윤기원
1306,296087,정해양
1307,459251,서인덕
1308,459260,정도영
1309,457998,송홍하
1310,246240,정종만
1311,448130,황용환
1312,450968,김재학
1313,257352,이형연
1314,259217,권영홍
1315,305987,심항섭
1316,252205,신동진
1317,454663,성은수
1318,418139,김중헌
1319,455334,박상수
1320,310882,김현규
1321,234184,이찬석
1322,258795,정영희
1323,452911,정휘철
1324,454964,이용구
1325,393566,이승재
1326,415877,안순근
1327,455972,곽효근
1328,176297,이순기
1329,300344,정몽선
1330,387884,김용인
1331,456175,한숙희
1332,155902,조중민
1333,454928,구용회
1334,456634,최태원
1335,409919,이창희
1336,221542,안익성
1337,456290,박영인
1338,411783,양영주
1339,411163,두진문
1340,105563,김학열
1341,377249,모스칼쵸브
1342,139977,배동진
1343,426767,조익
1344,453895,이용찬
1345,446859,노영란
1346,453859,나성수
1347,454122,최경유
1348,371166,김헌
1349,134413,구자철
1350,310934,이열희
1351,115515,우영조
1352,189097,고재우
1353,363307,박재천
1354,456272,윤창백
1355,353036,노시근
1356,346319,유재원
1357,446521,변호진
1358,419509,정택윤
1359,359988,정용빈
1360,182401,김선장
1361,456102,이화경
1362,450436,김선율
1363,456324,박민홍
1364,455802,안화진
1365,456643,서동규
1366,134635,노영만
1367,455644,나옥심
1368,407045,원찬희
1369,408886,국호근
1370,232715,이근호
1371,455556,김정식
1372,455680,김유미
1373,456582,주인환
1374,217929,신흥철
1375,456670,이효병
1376,447849,김태연
1377,399108,강호준
1378,450959,이현규
1379,456838,노상덕
1380,455194,박상병
1381,455282,홍종대
1382,435604,안충일
1383,455617,곽계흔
1384,450241,문창하
1385,260170,김연규
1386,231008,안기조
1387,337199,Electra
1388,180324,김성환
1389,334271,박진현
1390,139490,이대영
1391,340120,Michael J. Roland
1392,337302,오상배
1393,337320,조동문
1394,137757,도영회
1395,341925,유흥렬
1396,341943,단경호
1397,341961,Sien Ha Lilian Chan
1398,262053,서경호
1399,337393,방석원
1400,337418,정효상
1401,337515,정구관
1402,339823,김원규
1403,337676,이정환외1명
1404,337737,김진억
1405,161213,남기민
1406,319528,차영석
1407,134820,곽태환
1408,221737,최규식
1409,207047,이근조
1410,370185,박광수
1411,362539,이순배
1412,180652,이수복
1413,110714,백보현
1414,370440,김민호
1415,234935,정상영
1416,136819,조장우
1417,257705,김정칠
1418,151508,장민수
1419,320889,이정석
1420,185116,최영호
1421,161897,이원식
1422,303721,손의용
1423,361099,조승우
1424,262992,신준식
1425,362256,차재영
1426,240617,이강욱
1427,149682,윤여두
1428,215648,차상표
1429,202307,한교영
1430,365350,권준혁
1431,384072,김유경
1432,108898,백승봉
1433,385761,JOHN F DONAHUE
1434,363653,김덕중
1435,331672,TAN CHIN FAH
1436,204077,조병우
1437,183206,좌성욱
1438,338480,장충엽
1439,384151,이석우
1440,331663,KEVIN K.HOW
1441,263681,강신조
