,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
360,666204,제 18 기,20180719,,"-3,834,204,653","-5,258,970,982"
361,249502,제 24 기,20180402,"12,802,035,454","-3,690,116,081","-8,062,623,314"
362,349732,제 20 기,20180402,,,"-25,901,832,664"
363,120924,제 49 기,20180330,,,"184,515,994,316"
364,1064069,제 3 기,20180402,"30,535,280,156","4,534,858,173","549,102,084"
365,155531,제 49 기,20180330,,,"13,653,959,701"
366,684714,제 10 기,20180330,,"187,616,056,340","148,534,131,139"
367,155692,제 52 기,20180402,,,"-4,446,289,465"
368,605124,제 16 기,20180322,,"-1,407,560,256","-5,720,131,847"
369,131896,제 69 기,20180330,,,"12,832,331,953"
370,449379,제 18 기,20180402,"933,119,638,097","12,408,585,638","5,420,387,776"
371,215976,제 51 기,20180330,,"-162,551,593","-12,901,317,994"
372,305570,제 27 기,20180330,"14,372,479,133","-1,217,812,525","-1,335,012,183"
373,365758,제 22 기,20180322,,"6,001,154,746","5,528,738,818"
374,923826,제 12 기,20191121,,"-7,865,733,942","-21,002,019,710"
375,252135,제 23 기,20180329,"272,535,492,516","41,174,577,284","40,533,963,171"
376,127167,제 59 기,20180330,,,
377,153524,제 42 기,20180402,,"3,167,640,185","437,215,181"
378,648721,제 10 기,20180314,,"19,201,910,760","4,581,776,727"
379,106623,제 42 기,20180330,,"-796,183,831","-72,596,242,784"
380,128661,제 28 기,20180402,,,"26,257,075,167"
381,266934,제 23 기,20180330,,"-16,968,469,096","-21,366,178,121"
382,143907,제 41 기,20180330,,"9,019,954,803","6,712,753,996"
383,409681,제 17 기,20180402,,,"981,493,114"
384,244561,제 21 기,20180402,,"6,033,339,216","-54,754,214,022"
385,554024,제 18 기,20180402,,,"132,982,984,179"
386,496225,제 18 기,20180402,,"-1,464,330,672","-2,110,772,416"
387,144395,제 43 기,20180330,,"33,611,089,325","122,250,562,304"
388,128315,제 37 기,20180402,,"831,547,665","9,694,311,580"
389,238782,제 26 기,20180402,"151,156,994,583","6,083,163,900","7,967,928,920"
390,128412,제 50 기,20180402,"245,271,927,859","46,946,540,180","35,795,824,754"
