,기업코드,회차,등록일,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
308,141608,제 38 기,20180330,2322129927 ,-8225929920 ,0 
309,206686,제 40 기,20180420,-4002421378 ,-41532895734 ,43967575161 
310,819073,제 11 기,20180330,3793179896 ,-3123043694 ,6588792551 
311,442561,제 18 기,20180402,-3214145701 ,-4384749402 ,11856257332 
312,147082,제 34 기,20180330,-2911538289 ,-14398252379 ,12845969673 
313,155382,제 32 기,20180402,-1290862156 ,-63764352949 ,58835832899 
314,426068,제 17 기,20180402,-5224966725 ,13213790409 ,-11196487096 
315,127042,제 57 기,20180402,29125830967 ,-25986267162 ,-3628015369 
316,140052,제 41 기,20180329,28550106303 ,-30913461419 ,-5044634848 
317,101549,제 42 기,20180608,15911941680 ,-7894391727 ,-5692834610 
318,855093,제 7 기,20180327,47631217342 ,-96165051566 ,54980032498 
319,177870,제 41 기,20180402,-2538774842 ,-535165437 ,2980266851 
320,160302,제 50 기,20180525,-25487152579 ,16269556799 ,9997631046 
321,113492,제 53 기,20180402,,-23240721428 ,26436059098 
322,356802,제 26 기,20180330,-1517772230 ,-4424124532 ,3684392666 
323,318662,제 22 기,20180402,-23718862109 ,-6819321659 ,49874703062 
324,1046203,제 4 기,20180330,-6220341903 ,-1779871784 ,0 
325,139153,제 34 기,20180402,28805530322 ,-15354113093 ,-13167405360 
326,852087,제 8 기,20180605,-797467424 ,1976500000 ,
327,210856,제 26 기,20180330,-1479697093 ,-6784479537 ,701000000 
328,957568,제 11 기,20180402,5067682009 ,-4424421669 ,-2451071524 
329,346407,제 21 기,20180402,826618272 ,-48524839960 ,36525579826 
330,155373,제 43 기,20171128,9617204388 ,-6571849423 ,-2571175540 
331,165060,제 40 기,20180330,39720795045 ,3815560218 ,-5445292800 
332,261887,제 20 기,20180330,-4321599174 ,9514289955 ,-5544830550 
333,166519,제 41 기,20180330,7223239516 ,-10314436631 ,2324193378 
334,1205842,제 1 기,20180402,10281046000 ,-96169404000 ,237238943000 
335,144243,제 34 기,20180402,32002231347 ,-25084458135 ,4010893254 
336,145880,제 53 기,20180402,2032046992074 ,-1156549364600 ,-861109906098 
337,162461,제 44 기,20180814,568790422745 ,-344176513044 ,-226673169122 
338,1096341,제 3 기,20180607,9040261558 ,11085145461 ,928169822 
339,194947,제 28 기,20180402,,,
340,122348,제 56 기,20171229,8815559083 ,4097909885 ,-2199643082 
341,479787,제 23 기,20181029,1533122161 ,-33915373 ,2059672942 
342,141389,제 35 기,20180330,11341670197 ,-9066196295 ,-2835000000 
343,495086,제 18 기,20180329,-5396515580 ,1214880044 ,-3663036390 
344,608802,제 19 기,20190222,-5347153604 ,-72186744713 ,81146591951 
345,274933,제 23 기,20180402,83884094282 ,-40712078770 ,4911625400 
346,249441,제 21 기,20180402,4707480607 ,-4275865198 ,373001400 
347,105271,제 60 기,20180330,382837517750 ,-672969611307 ,142114470795 
348,367482,제 20 기,20180330,-5176896042 ,-10526090871 ,14936760065 
349,135962,제 51 기,20180608,36613685215 ,-9111920167 ,-6655258672 
350,372882,제 17 기,20180402,13133258115 ,-975358155 ,-3368805000 
351,1031502,제 4 기,20180712,-6995787414 ,-9052964991 ,20381629724 
352,125743,제 52 기,20180330,51476769884 ,-17528048154 ,-24307873442 
353,232089,제 36 기,20180330,-657771338 ,-13039703876 ,15999371985 
354,103626,제 43 기,20180402,2350210921 ,-16509556469 ,1984986812 
355,138747,제 39 기,20170928,-1933034245 ,6309816465 ,48640175 
356,800145,제 8 기,20180402,3132780832 ,-18003409592 ,14522744130 
357,226352,제 24 기,20180402,-5038559995 ,-6331679277 ,7523486513 
358,260611,제 44 기,20180330,2000361362 ,-95582785 ,-4439146312 
359,820389,제 14 기,20180330,-3404014243 ,-4754384732 ,39991317822 
360,666204,제 18 기,20180719,-1676025459 ,2303654407 ,-648000000 
361,249502,제 24 기,20180402,,,7871373722 
362,349732,제 20 기,20180402,13573675278 ,-17808694946 ,-8893006500 
363,120924,제 49 기,20180330,,,-27629657200 
364,1064069,제 3 기,20180402,-1587168599 ,-4040455216 ,10648433941 
365,155531,제 49 기,20180330,8967928568 ,-14922522655 ,2855000 
366,684714,제 10 기,20180330,,,
367,155692,제 52 기,20180402,-683101296 ,534969659 ,500000000 
368,605124,제 16 기,20180322,-5876861362 ,739024095 ,-2264952890 
369,131896,제 69 기,20180330,13839740576 ,-45195767218 ,29148343600 
370,449379,제 18 기,20180402,3074147944 ,-38780972508 ,47880229400 
371,215976,제 51 기,20180330,-1798575310 ,-1335599283 ,3554320144 
372,305570,제 27 기,20180330,1458174510 ,-9043226485 ,-20000000 
373,365758,제 22 기,20180322,6846897930 ,-7339255908 ,400065569 
